NA
2020-07-19 05:53:24 153/4800: dim(data)=20000x(20+100),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 06:03:10 154/4800: dim(data)=50000x(20+100),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 06:16:16 155/4800: dim(data)=100000x(20+100),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 07:22:09 156/4800: dim(data)=5000x(50+250),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 08:52:38 157/4800: dim(data)=10000x(50+250),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 09:31:10 158/4800: dim(data)=20000x(50+250),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 11:02:09 159/4800: dim(data)=50000x(50+250),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 12:40:12 160/4800: dim(data)=100000x(50+250),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 12:58:05 161/4800: dim(data)=5000x(5+2),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 13:11:13 162/4800: dim(data)=10000x(5+2),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 13:25:33 163/4800: dim(data)=20000x(5+2),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 13:41:40 164/4800: dim(data)=50000x(5+2),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 14:03:49 165/4800: dim(data)=100000x(5+2),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 14:37:18 166/4800: dim(data)=5000x(10+5),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 14:54:50 167/4800: dim(data)=10000x(10+5),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 15:15:10 168/4800: dim(data)=20000x(10+5),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 15:41:24 169/4800: dim(data)=50000x(10+5),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 16:18:56 170/4800: dim(data)=100000x(10+5),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 17:04:42 171/4800: dim(data)=5000x(20+10),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 17:27:43 172/4800: dim(data)=10000x(20+10),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 17:52:54 173/4800: dim(data)=20000x(20+10),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 18:25:03 174/4800: dim(data)=50000x(20+10),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 19:23:36 175/4800: dim(data)=100000x(20+10),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 19:37:09 176/4800: dim(data)=5000x(50+25),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 20:06:22 177/4800: dim(data)=10000x(50+25),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 20:42:18 178/4800: dim(data)=20000x(50+25),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 21:04:51 179/4800: dim(data)=50000x(50+25),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 21:42:10 180/4800: dim(data)=100000x(50+25),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 22:09:21 181/4800: dim(data)=5000x(5+5),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 22:25:10 182/4800: dim(data)=10000x(5+5),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 22:41:01 183/4800: dim(data)=20000x(5+5),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 22:58:45 184/4800: dim(data)=50000x(5+5),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 23:15:42 185/4800: dim(data)=100000x(5+5),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 23:25:25 186/4800: dim(data)=5000x(10+10),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
2020-07-19 23:41:21 187/4800: dim(data)=10000x(10+10),  rep=1,  signal-to-noise-ratio=10,  bm-dir=bm-scripts/categorical/memory
